#dsaf

原始道具类型	原始道具ID	目标道具类型	目标道具ID	冷却时间（秒）	消耗铜钱	限制等级	暴击几率
#0	1001001	0	1001002	0	7 	2	1000
//0	1001002	0	1001003	0	23 	3	990
0	1001003	0	1001004	0	61 	4	980

0	1001004	0	1001005	0	138 	5	970
0	1001005	0	1001006	0	261 	6	960
0	1001006	0	1001007	0	438 	7	950
0	1001007	0	1001008	0	680 	8	940
0	1001008	0	1001009	0	995 	9	930
0	1001009	0	1001010	0	1392 	10	920
0	1001010	0	1001011	0	1879 	11	910
0	1001011	0	1001012	0	2466 	12	900
0	1001012	0	1001013	0	3160 	13	890
0	1001013	0	1001014	0	3970 	14	880
0	1001014	0	1001015	0	4903 	15	870
0	1001015	0	1001016	0	5969 	16	860
0	1001016	0	1001017	0	7174 	17	850
0	1001017	0	1001018	0	8527 	18	840
0	1001018	0	1001019	0	10035 	19	830
0	1001019	0	1001020	0	11707 	20	820
0	1001020	0	1001021	0	13550 	21	810
0	1001021	0	1001022	0	15572 	22	800
0	1001022	0	1001023	0	17779 	23	790
0	1001023	0	1001024	0	20181 	24	780


